ت,العنصر المفحوص,المعيار المطلوب الموحد,مرجع م.ب.ع 202,مرجع ADA 2010,المحدد الهندسي,القياس الفعلي,الحالة,الأهمية,الوزن النسبي
1,مواقف السيارات,موقف مخصص بعرض 3.60 م وأقرب للمدخل بمسافة ≤ 50م,البند 4-6/3,ADA Sec 502,3.60 م,,غير مطابق,حرجة,10
2,مسارات المشاة والأرصفة,عرض صافي ≥ 120 سم مع خلو من العوائق ومنحدر رصيف 1:12,البند 4-2/3,ADA Sec 403,120 سم,,غير مطابق,حرجة,10
3,منحدر المدخل الرئيسي,ميل لا يتجاوز 1:12 مع درابزين مزدوج وبسطات 150 سم,البند 3-4,ADA Sec 405,1:12,,غير مطابق,حرجة جداً,15
4,أبواب الدخول الرئيسية,عرض فتحة الباب الصافية ≥ 90 سم ومقابض رافعة,البند 3-7,ADA Sec 404,90 سم,,غير مطابق,حرجة جداً,10
5,الممرات الداخلية,عرض لا يقل عن 120 سم (150 سم للممرات الرئيسية),البند 4-1/2,ADA Sec 403,150 سم,,غير مطابق,متوسطة,5
6,كابينة المصعد,أبعاد صافية لا تقل عن 140 × 140 سم وباب بعرض 90 سم,البند 6-6,ADA Sec 407,140x140 سم,,غير مطابق,حرجة جداً,10
7,تجهيزات لوحة المصعد,أزرار بارتفاع 90-120 سم مزودة بلغة برايل ومؤشر صوتي,البند 6-5/6,ADA Sec 407.4,90-120 سم,,غير مطابق,متوسطة,5
8,المرافق الصحية الميسرة,مساحة حرة 2.00×2.00 م لدوران الكرسي 150 سم وباب للخارج,البند 5-3,ADA Sec 604,200x200 سم,,غير مطابق,حرجة جداً,15
9,أجهزة الطوارئ بالحمام,حبل أو زر استدعاء طوارئ سفلي متصل بنظام إنذار,البند 7-5/1,ISO 21542,10 و 90 سم,,غير مطابق,حرجة,5
10,السلالم الاعتيادية,قائمة ≤ 16 سم ونائمة ≥ 30 سم مع شريط مانع للانزلاق متباين,البند 3-5,ADA Sec 504,16/30 سم,,غير مطابق,متوسطة,3
11,إنذار الحريق والسلامة,إنذار بصري ومّاض متزامن مع جرس الإنذار الصوتي,البند 7-5/4,ADA Sec 702,مزدوج صوتي وضوئي,,غير مطابق,حرجة,7
12,مناطق الإيواء المؤقت,مساحة محمية من الحريق عند بيت الدرج (85×130 سم) مع هاتف,البند 8-6/2,ADA Sec 207,85x130 سم,,غير مطابق,حرجة,7
13,مكاتب الاستقبال والخدمة,كاونتر خدمة منخفض بارتفاع 75-80 سم لمستخدمي الكراسي,البند 2-9/2,ADA Sec 904,75-80 سم,,غير مطابق,متوسطة,3
